"Email to A Friend","Mail an einen Freund"
"Sort","Art"
"Sign in","Anmeldung"
"Sign out","austragen"
"Wishlist","Wunschliste"
"View Cart","Einkaufswagen ansehen"
"Your Account","Ihr Konto"
"Enter your email","Geben Sie einfach Ihre E-Mail"
"Submit your contact","Reichen Sie Ihre Ansprechpartner"
"Write Your Review","Schreiben Sie Ihre Bewertung"
"You May Also Like","Das könnte Ihnen auch gefallen"
"Update Your Cart","Update Your Cart"
"Apply Code","Bewerben Kodex"
"Add To Cart","In den Warenkorb"
"Enter Email Address","Ihre Email-Adresse"
"Subscribe To Our Newsletter","Abonnieren Sie Unseren Newsletter"
"More","Mehr"
"Add your review","Bewertung abgeben"
"%d review","%d Bewertung"
"%d reviews","%d Bewertungen"
"Register New Account","Neues Konto registrieren"
"View More","Mehr Anzeigen"
"From Our Blog","Von unserem Blog"
"Search entires store here...","Suche Ganzstücke speichern Sie hier ..."
"Duis venenatis odio ut magna vulpunec mattis dui","Wir hassen es, ein Fuchs umfassenden Anforderungen binden"
"Register Customer","Registrieren Kundeninformation"
"Email to Friend","Mail einen Freund"
"Add All Items to Cart","Hinzufügen Alle Items to Cart"
"Home","Zuhause"